#ct	dtheta
0	1.82512e-05
1e-05	2.62973e-05
2e-05	0.000149249
3e-05	0.000119792
4e-05	0.000168167
5e-05	0.000201535
6e-05	0.000222192
7e-05	0.000197383
8e-05	0.000169544
9e-05	0.000114073
0.0001	0.000153964
0.00011	0.00010761
0.00012	0.000135044
0.00013	0.000146313
0.00014	0.000206167
0.00015	0.000206925
0.00016	0.00015673
0.00017	0.000237952
0.00018	0.000212583
0.00019	0.000236223
0.0002	0.000243178
0.00021	0.000232283
0.00022	0.000219931
0.00023	0.000228408
0.00024	0.000236455
0.00025	0.000212131
0.00026	0.000129576
0.00027	0.000196678
0.00028	0.000248234
0.00029	0.00026579
0.0003	0.000286045
0.00031	0.000319512
0.00032	0.000293735
0.00033	0.000319774
0.00034	0.00036265
0.00035	0.000331317
0.00036	0.000353603
0.00037	0.000367336
0.00038	0.000328926
0.00039	0.00029374
0.0004	0.000248807
0.00041	0.000191603
0.00042	0.000239345
0.00043	0.000215608
0.00044	0.000232672
0.00045	0.000225064
0.00046	0.000189617
0.00047	0.000282504
0.00048	0.000231547
0.00049	0.000162579
0.0005	0.000224196
0.00051	0.000297264
0.00052	0.000310313
0.00053	0.000346485
0.00054	0.000380663
0.00055	0.000356887
0.00056	0.000457745
0.00057	0.000514756
0.00058	0.000528136
0.00059	0.000490877
0.0006	0.000452709
0.00061	0.00037512
0.00062	0.00040893
0.00063	0.000409708
0.00064	0.000465753
0.00065	0.000409092
0.00066	0.000449864
0.00067	0.000429918
0.00068	0.000465185
0.00069	0.000527529
0.0007	0.000532814
0.00071	0.000489228
0.00072	0.000420176
0.00073	0.000383301
0.00074	0.000411673
0.00075	0.000380748
0.00076	0.000248831
0.00077	0.000225308
0.00078	0.00025352
0.00079	0.000240158
0.0008	0.000225731
0.00081	0.000253815
0.00082	0.000211824
0.00083	0.000251683
0.00084	0.000286795
0.00085	0.000283391
0.00086	0.000275936
0.00087	0.00029536
0.00088	0.000261647
0.00089	0.000318375
0.0009	0.00034845
0.00091	0.00040244
0.00092	0.000440686
0.00093	0.000453035
0.00094	0.000417077
0.00095	0.000465272
0.00096	0.000425412
0.00097	0.000378688
0.00098	0.000297171
0.00099	0.000228501
0.001	0.000287884
0.00101	0.000318426
0.00102	0.000328149
0.00103	0.000307122
0.00104	0.000388915
0.00105	0.000373934
0.00106	0.000420736
0.00107	0.000526213
0.00108	0.000559741
0.00109	0.00060336
0.0011	0.000663103
0.00111	0.000711811
0.00112	0.000731491
0.00113	0.000675618
0.00114	0.000738155
0.00115	0.000727283
0.00116	0.000709829
0.00117	0.00071229
0.00118	0.00072947
0.00119	0.000804359
0.0012	0.000854577
0.00121	0.000864897
0.00122	0.000782083
0.00123	0.000779285
0.00124	0.000742084
0.00125	0.000746853
0.00126	0.000663327
0.00127	0.000702891
0.00128	0.000709531
0.00129	0.000799161
0.0013	0.000734068
0.00131	0.000732192
0.00132	0.000770475
0.00133	0.000721007
0.00134	0.0007079
0.00135	0.000742123
0.00136	0.000721084
0.00137	0.000759954
0.00138	0.000752803
0.00139	0.000810247
0.0014	0.000855587
0.00141	0.00085958
0.00142	0.000808012
0.00143	0.000825585
0.00144	0.000826259
0.00145	0.000831541
0.00146	0.000873361
0.00147	0.000890162
0.00148	0.000938853
0.00149	0.000873533
0.0015	0.000887666
0.00151	0.000916827
0.00152	0.0008434
0.00153	0.000795499
0.00154	0.000790526
0.00155	0.000877225
0.00156	0.000934109
0.00157	0.000897135
0.00158	0.000889898
0.00159	0.000787951
0.0016	0.000774831
0.00161	0.000702899
