#t dx dy dz
0.0 0.0000 0.0000 0.0000
0.001 -0.1434 -0.1029 -0.1999
0.002 -0.2009 -0.3970 -0.2469
0.003 -0.5868 0.0182 0.0509
0.004 -0.6756 0.0338 0.1716
0.005 -0.2850 0.0382 0.0855
0.006 0.0302 0.2510 -0.2040
0.007 -0.0533 -0.1650 -0.1794
0.008 0.2132 -0.0596 -0.0785
0.009 0.4485 0.0982 0.1708
0.01 0.4311 0.0855 0.0765
0.011 0.4613 0.2921 0.0454
0.012 0.3390 0.3268 -0.0029
0.013 0.3492 0.1639 0.0133
0.014 0.1323 0.1975 -0.2075
0.015 0.2121 0.1234 -0.2902
0.016 0.1551 0.1220 -0.0606
0.017 -0.0218 -0.1286 -0.1460
0.018 -0.1916 -0.0918 -0.0903
0.019 -0.2945 -0.0709 -0.2146
0.02 -0.3933 -0.0085 -0.1586
0.021 -0.4592 0.3077 -0.2447
0.022 -0.5830 0.2486 0.1693
0.023 -0.4356 0.8728 0.2444
0.024 -0.3486 1.2209 0.1733
0.025 -0.3102 1.1712 0.0790
0.026 -0.2901 1.3785 -0.0822
0.027 -0.4426 1.4410 -0.0336
0.028 -0.4281 1.3006 -0.1465
0.029 -0.4303 0.9548 -0.0297
0.03 -0.4819 0.7973 0.1289
0.031 -0.6902 0.9663 0.2196
0.032 -0.7802 0.8573 0.4919
0.033 -0.7634 0.7925 0.4795
0.034 -0.7617 0.6320 0.4647
0.035 -0.5200 0.5674 0.5911
0.036 -0.6888 0.6618 0.6706
0.037 -0.3953 0.4230 0.5311
0.038 -0.5067 0.4372 0.1513
0.039 -0.4273 0.6448 0.2369
0.04 -0.2333 0.2851 0.7088
0.041 0.0127 0.3252 0.6379
0.042 0.1413 0.2520 0.6285
0.043 0.3894 0.1965 0.6698
0.044 0.1359 0.0623 1.2133
0.045 -0.1717 -0.3070 1.6247
0.046 -0.1758 -0.1102 1.4744
0.047 -0.0583 -0.1988 1.5835
0.048 -0.4732 -0.1581 1.8923
0.049 -0.4701 -0.2351 1.8804
0.05 -0.6750 -0.7832 1.8518
0.051 -0.7401 -0.7484 1.8243
0.052 -0.8242 -0.6395 1.7703
0.053 -0.5763 -0.7448 1.4141
0.054 -0.1269 -0.5778 1.4831
0.055 0.2037 -0.5480 1.5147
0.056 0.2929 -0.7621 1.4418
0.057 0.2479 -1.0769 1.5497
0.058 0.1571 -1.0055 1.7060
0.059 0.3371 -1.0673 1.6713
0.06 0.3067 -1.2946 1.8734
0.061 0.3293 -1.4921 1.8302
0.062 0.1640 -1.5427 1.8015
0.063 0.5838 -1.6276 1.9027
0.064 0.6670 -1.4938 1.9434
0.065 0.7190 -1.4384 1.9083
0.066 0.7031 -1.3658 1.6380
0.067 0.8074 -1.0156 1.5350
0.068 0.7195 -0.7923 1.5349
0.069 0.6320 -0.7614 1.7231
0.07 0.4008 -0.7413 1.8098
0.071 0.1883 -0.9177 2.0586
0.072 0.3060 -1.0475 2.0502
0.073 0.4273 -1.0176 1.8837
0.074 0.6248 -1.0680 1.7788
0.075 0.8321 -1.2989 1.5274
0.076 0.9065 -1.2927 1.5954
0.077 0.6158 -1.6197 1.5496
0.078 0.1759 -1.6393 1.3710
0.079 0.1171 -1.8278 1.5608
0.08 -0.2043 -2.1156 1.3769
0.081 -0.3044 -2.0600 1.5169
0.082 -0.0545 -1.4827 1.6595
0.083 -0.1255 -1.3860 1.6357
0.084 -0.1650 -1.2112 1.7324
0.085 -0.3424 -1.3560 2.1700
0.086 -0.2135 -1.2035 1.9610
0.087 -0.2394 -1.4606 2.0244
0.088 -0.1837 -1.4641 2.2993
0.089 -0.2715 -1.4015 1.9241
0.09 -0.2949 -1.1794 1.6943
0.091 -0.1211 -1.1095 1.5381
0.092 -0.0575 -0.9382 1.5300
0.093 -0.4844 -0.9205 1.5264
0.094 -0.6586 -1.0741 1.5431
0.095 -0.7588 -1.2581 1.2118
0.096 -0.4296 -1.0976 1.7442
0.097 -0.4323 -1.1353 1.6763
0.098 -0.6502 -1.2471 1.9146
0.099 -0.9286 -1.6163 2.0019
