#t hx hy hz
0.0 0.0000 0.0000 -1.0000
0.001 0.0097 0.0040 -0.9999
0.002 0.0078 -0.0094 -0.9999
0.003 -0.0211 -0.0096 -0.9997
0.004 -0.0355 -0.0283 -0.9990
0.005 -0.0332 -0.0311 -0.9990
0.006 -0.0146 -0.0255 -0.9996
0.007 0.0052 -0.0135 -0.9999
0.008 0.0113 -0.0226 -0.9997
0.009 0.0153 -0.0105 -0.9998
0.01 0.0329 0.0007 -0.9995
0.011 0.0261 0.0157 -0.9995
0.012 0.0082 0.0249 -0.9997
0.013 -0.0081 0.0219 -0.9997
0.014 -0.0000 0.0268 -0.9996
0.015 -0.0101 0.0168 -0.9998
0.016 -0.0224 0.0384 -0.9990
0.017 -0.0408 0.0366 -0.9985
0.018 -0.0364 -0.0060 -0.9993
0.019 -0.0606 0.0122 -0.9981
0.02 -0.0698 0.0179 -0.9974
0.021 -0.0832 0.0078 -0.9965
0.022 -0.0787 0.0172 -0.9967
0.023 -0.0829 0.0335 -0.9960
0.024 -0.0558 0.0156 -0.9983
0.025 -0.0645 0.0110 -0.9979
0.026 -0.0764 0.0188 -0.9969
0.027 -0.0859 0.0099 -0.9963
0.028 -0.0641 -0.0073 -0.9979
0.029 -0.0542 0.0012 -0.9985
0.03 -0.0390 -0.0104 -0.9992
0.031 -0.0411 -0.0259 -0.9988
0.032 -0.0419 -0.0231 -0.9989
0.033 -0.0682 -0.0095 -0.9976
0.034 -0.0637 -0.0076 -0.9979
0.035 -0.0467 -0.0030 -0.9989
0.036 -0.0436 0.0138 -0.9990
0.037 -0.0684 0.0123 -0.9976
0.038 -0.0669 0.0003 -0.9978
0.039 -0.0526 0.0019 -0.9986
0.04 -0.0519 -0.0156 -0.9985
0.041 -0.0576 0.0007 -0.9983
0.042 -0.0530 -0.0059 -0.9986
0.043 -0.0725 0.0155 -0.9972
0.044 -0.0593 0.0381 -0.9975
0.045 -0.0610 0.0410 -0.9973
0.046 -0.0721 0.0603 -0.9956
0.047 -0.1016 0.0560 -0.9933
0.048 -0.1080 0.0521 -0.9928
0.049 -0.1287 0.0669 -0.9894
0.05 -0.1172 0.0659 -0.9909
0.051 -0.0971 0.0433 -0.9943
0.052 -0.0805 0.0408 -0.9959
0.053 -0.0905 0.0601 -0.9941
0.054 -0.0822 0.0595 -0.9948
0.055 -0.0760 0.0569 -0.9955
0.056 -0.0761 0.0515 -0.9958
0.057 -0.0776 0.0445 -0.9960
0.058 -0.0881 0.0494 -0.9949
0.059 -0.0847 0.0545 -0.9949
0.06 -0.0693 0.0348 -0.9970
0.061 -0.0688 0.0231 -0.9974
0.062 -0.0922 0.0122 -0.9957
0.063 -0.0890 -0.0019 -0.9960
0.064 -0.0868 -0.0060 -0.9962
0.065 -0.0688 0.0011 -0.9976
0.066 -0.0863 -0.0008 -0.9963
0.067 -0.0902 -0.0026 -0.9959
0.068 -0.0842 -0.0216 -0.9962
0.069 -0.0689 -0.0187 -0.9974
0.07 -0.0588 -0.0038 -0.9983
0.071 -0.0477 0.0229 -0.9986
0.072 -0.0568 0.0217 -0.9981
0.073 -0.0582 0.0278 -0.9979
0.074 -0.0642 0.0165 -0.9978
0.075 -0.0545 -0.0050 -0.9985
0.076 -0.0551 0.0140 -0.9984
0.077 -0.0530 0.0356 -0.9980
0.078 -0.0377 0.0490 -0.9981
0.079 -0.0378 0.0498 -0.9980
0.08 -0.0292 0.0545 -0.9981
0.081 -0.0302 0.0616 -0.9976
0.082 -0.0143 0.0628 -0.9979
0.083 -0.0129 0.0647 -0.9978
0.084 0.0015 0.0660 -0.9978
0.085 0.0021 0.0894 -0.9960
0.086 -0.0126 0.0766 -0.9970
0.087 -0.0431 0.1044 -0.9936
0.088 -0.0529 0.0954 -0.9940
